0-x,0-y,1-x,1-y,2-x,2-y,3-x,3-y,4-x,4-y,5-x,5-y,6-x,6-y,7-x,7-y,8-x,8-y,9-x,9-y,10-x,10-y,11-x,11-y,12-x,12-y
424.2869567871094,18.907161712646484,417.9786376953125,291.51324462890625,473.4971618652344,407.60443115234375,593.4014892578125,291.05126953125,519.4227294921875,239.2730255126953,467.74578857421875,474.66558837890625,428.41864013671875,312.41436767578125,774.6717529296875,390.7784118652344,490.6632385253906,298.1851501464844,429.7568054199219,398.5202941894531,525.2534790039062,294.83953857421875,820.9736938476562,333.5789489746094,579.1416015625,297.43585205078125
498.5946044921875,289.8558654785156,420.8782958984375,277.8007507324219,,,572.54443359375,272.7193298339844,523.1021118164062,443.7855529785156,439.4307556152344,471.3017578125,461.9456481933594,292.5664367675781,724.9395141601562,374.4574890136719,,,461.80975341796875,432.79681396484375,515.5075073242188,265.0990905761719,805.9541625976562,303.6499938964844,,
,,410.0693359375,272.8663330078125,,,579.6257934570312,188.1212921142578,,,482.8780822753906,338.5574951171875,300.9617614746094,84.32189178466797,279.3653564453125,308.82110595703125,,,429.7094421386719,398.5096130371094,482.81439208984375,254.33580017089844,471.9725646972656,364.7417297363281,,
,,493.7675476074219,195.4905548095703,,,822.236083984375,390.44964599609375,,,455.88653564453125,317.9448547363281,450.6873474121094,291.4754638671875,255.9028778076172,300.5872802734375,,,423.7731628417969,512.8970336914062,544.8258056640625,271.1411437988281,323.1674499511719,379.32611083984375,,
,,,,,,583.4189453125,279.7657775878906,,,483.0825500488281,335.78985595703125,686.465087890625,459.282958984375,718.5868530273438,361.1360168457031,,,,,,,407.7160949707031,284.348388671875,,
,,,,,,556.2442016601562,267.4093933105469,,,562.542236328125,448.022216796875,,,311.4652404785156,234.3418426513672,,,,,,,837.7688598632812,302.3555603027344,,
,,,,,,579.6793823242188,188.00379943847656,,,,,,,774.60546875,390.95587158203125,,,,,,,484.70465087890625,380.0843811035156,,
,,,,,,1013.6025390625,599.4017333984375,,,,,,,725.0609130859375,374.449462890625,,,,,,,560.528564453125,264.5541076660156,,
,,,,,,130.84388732910156,462.38818359375,,,,,,,246.59620666503906,280.7127380371094,,,,,,,,,,
,,,,,,,,,,,,,,311.4662170410156,234.62100219726562,,,,,,,,,,
,,,,,,,,,,,,,,763.0368041992188,405.2662353515625,,,,,,,,,,
,,,,,,,,,,,,,,3.8501217365264893,456.0636291503906,,,,,,,,,,
,,,,,,,,,,,,,,584.024658203125,443.6593017578125,,,,,,,,,,
,,,,,,,,,,,,,,55.81974792480469,318.8154296875,,,,,,,,,,
