0-x,0-y,1-x,1-y,3-x,3-y,4-x,4-y,5-x,5-y,6-x,6-y,7-x,7-y,9-x,9-y,10-x,10-y,11-x,11-y,12-x,12-y
995.8175659179688,641.4252319335938,420.8747253417969,277.87786865234375,572.5325317382812,272.6394958496094,519.37841796875,239.2777099609375,439.3110656738281,471.34918212890625,428.41864013671875,312.41436767578125,763.2105712890625,405.430419921875,429.7094421386719,398.5096130371094,525.2534790039062,294.83953857421875,805.9247436523438,303.67205810546875,579.1180419921875,297.4270935058594
,,425.4117736816406,264.45098876953125,579.4764404296875,188.17893981933594,,,426.55645751953125,417.0907897949219,300.99285888671875,84.35723114013672,725.1285400390625,374.3184814453125,2.7849462032318115,115.0,482.81439208984375,254.33580017089844,323.1674499511719,379.32611083984375,,
,,493.7675476074219,195.4905548095703,593.4625854492188,291.06121826171875,,,458.6400146484375,391.6673278808594,450.6873474121094,291.4754638671875,718.6751098632812,361.09954833984375,,,544.8258056640625,271.1411437988281,837.7530517578125,302.3460388183594,,
,,,,556.2293701171875,267.4313659667969,,,482.8981628417969,338.5835876464844,686.465087890625,459.282958984375,279.4629821777344,308.7386474609375,,,956.7080688476562,173.81846618652344,407.7160949707031,284.348388671875,,
,,,,579.7203369140625,187.98292541503906,,,562.5518188476562,447.9710998535156,,,255.84329223632812,300.4689636230469,,,566.7711181640625,483.3631896972656,560.4573974609375,264.4111022949219,,
,,,,968.3838500976562,452.6060485839844,,,528.2395629882812,356.1041564941406,,,774.6063842773438,390.93505859375,,,,,308.046875,302.359375,,
,,,,187.63543701171875,596.1478271484375,,,322.49462890625,284.4032287597656,,,725.0609130859375,374.449462890625,,,,,451.047607421875,303.2592468261719,,
,,,,821.1127319335938,206.88235473632812,,,,,,,246.59620666503906,280.7127380371094,,,,,203.50924682617188,210.48704528808594,,
,,,,,,,,,,,,311.4731750488281,234.654541015625,,,,,,,,
,,,,,,,,,,,,66.31818389892578,22.767677307128906,,,,,,,,
,,,,,,,,,,,,3.8268377780914307,456.1158447265625,,,,,,,,
,,,,,,,,,,,,584.0241088867188,443.6653137207031,,,,,,,,
